date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start,storage_end,plan_cost_yuan,emergency_cost_yuan,daily_cost_yuan,storage_min,storage_max,pool_size,k_eff,mode,objective_yuan,theta_mean,theta_total_yuan,tangent_count,value_at_s_min,value_at_s_max,dec_storage_end_mean,dec_storage_end_min,dec_storage_end_max,dec_plan_kwh,solver_path
2025-06-23,77622.03102,1665.79892,1349.297125,0,10244.24323,1200,1200,59026.11293,0,59026.11293,1200,2027.049723,53,16.58161963,kernel,116050.5019,56524.90832,56995.77602,31,58766.28287,56332.7626,5305.808627,1200,7280.58753,13.4090185,highs+presolve
2025-06-24,76986.3053,6640.398042,5378.722414,615.7626531,71.60007489,1200,1200,58660.22833,1437.166138,60097.39447,1200,5984.651086,54,17.97101165,kernel,115660.9676,56362.09813,56860.59403,38,58588.07088,56113.33467,5272.999677,1200,7582.456119,64.39979517,highs+presolve
2025-06-25,77746.05231,2471.927718,2002.261451,0,6838.964681,1200,1200,59440.41857,0,59440.41857,1200,2570.155528,55,16.742108,kernel,117253.2085,57240.34604,57732.85113,33,59375.16339,57018.62519,5004.836267,1200,7136.784876,34.00994316,highs+presolve
2025-06-26,77805.7919,1779.306538,1441.238296,0,9920.339826,1200,1200,59447.90511,0,59447.90511,1200,2198.071282,56,17.28494061,kernel,117143.518,57198.43951,57636.67591,36,59287.63306,56985.21901,5054.666029,1200,7166.815427,25.01067742,highs+presolve
2025-06-27,43376.42081,231.6995824,187.6766617,13.8737045,23574.62573,1200,1200,32307.23573,29.4469378,32336.68266,1200,1279.920572,57,6.979637182,kernel,72260.82232,36547.79925,35067.7201,65,37193.09263,34858.4687,9838.870665,1200,10799.82306,1202.420784,highs+presolve
2025-06-28,42827.37915,548.1803061,444.026048,0,20946.29878,1200,1200,31825.31256,0,31825.31256,1200,1368.008952,58,8.966843678,kernel,70577.11402,35662.97356,34267.58618,65,36309.51838,34044.5095,9710.52034,1200,10799.79509,1121.577349,highs+presolve
2025-06-29,77826.61624,1960.243597,1587.797313,0,8186.401427,1200,1200,59150.86763,0,59150.86763,1200,2190.535048,59,21.38748108,kernel,116341.6662,56616.37752,57133.24145,38,59026.30824,56353.56187,5526.697719,1200,7759.531356,24.42659312,highs+presolve
2025-06-30,77812.69865,2573.000348,2084.130282,0,7446.144599,1200,1200,59198.73193,0,59198.73193,1200,2491.726869,60,21.55507654,kernel,116435.4477,56711.08835,57179.56543,38,59048.99337,56463.89487,5500.037454,1200,7675.743639,24.09964127,highs+presolve
2025-07-01,77700.50495,6342.71476,5137.598956,2400.247508,29.09262182,1200,1200,59565.90347,5138.775385,64704.67886,1200,4829.410731,30,17.47440141,kernel,117544.1294,57680.26898,57905.83871,32,59481.0695,57274.68593,4839.262186,1200,6890.457156,31.1954652,highs+presolve
2025-07-02,78841.50167,6399.750602,5183.797987,0,4720.782687,1200,1200,60242.86612,0,60242.86612,1200,5358.663108,31,17.19612015,kernel,119333.1129,58360.344,58746.09153,51,60425.94909,57744.72197,5239.89826,1200,9380.197393,160.1851455,highs+presolve
