date,question,configuration,normal_plus_adjust_yuan,emergency_kwh,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh,absolute_adjustment_kwh
2025-04-11,4-3,B,12227.852479,281.896248,23097.524009,15272.056252000002,5596.382907,9415.203123,1111.83736
2025-04-12,4-3,B,13496.041295,0.0,23721.814194,18201.80827,9415.203123,10540.604486,1958.309972
2025-04-13,4-3,B,36427.850108,0.0,16059.637153,17300.005276,10540.604486,5772.04984,4724.126423
2025-04-14,4-3,B,37695.739325,203.67193600000002,20358.102871000003,16508.357122,5772.04984,5751.7234,4279.486747
2025-04-15,4-3,B,40020.417471,0.0,20751.374243,15134.856376,5751.7234,7611.453134,6770.904314
2025-04-16,4-3,B,39749.488413,0.0,14986.147754999998,14979.329308,7611.453134,4455.286882,4942.286184
2025-04-17,4-3,B,37364.717783,867.6639379999999,17944.268427,14974.995550999998,4455.286882,3966.244523,5943.745422
2025-04-18,4-3,B,13846.346391,0.0,27302.71896,16392.280005,3966.244523,10325.047135,1706.5742759999998
2025-04-19,4-3,B,10217.597785,1050.64283,19374.266064,18999.923855,10325.047135,6650.860089,5584.257627000001
2025-04-20,4-3,B,36740.367446,867.681372,18835.968361,17085.216131,6650.860089,4619.658137,7654.908273
2025-04-21,4-3,B,34184.537065,139.555788,19145.590834000002,16310.050081000001,4619.658137,3728.412018,1187.718347
2025-04-22,4-3,B,41721.887382,0.0,21364.492946,14730.737515,3728.412018,6588.969542,7681.434272
2025-04-23,4-3,B,36313.862037,0.0,17589.796732000003,15328.099842,6588.969542,5388.564554,5200.126939
2025-04-24,4-3,B,34277.130899,152.754365,19020.903373,15780.839585,5388.564554,4973.111384,4441.368446
2025-04-25,4-3,B,11939.288787,221.11899,24799.359084,17129.759635,4973.111384,8259.468298,2764.9258390000005
2025-04-26,4-3,B,10242.130417,964.95309,21511.271479,17393.198635,8259.468298,8293.836368,2782.390862
2025-04-27,4-3,B,32711.982336,85.80884900000001,16621.262353000002,16329.140845000002,8293.836368,5109.482658,1933.2944000000002
2025-04-28,4-3,B,43721.543151,0.0,22041.035678,16772.781476,5109.482658,6309.990907,9087.695312
2025-04-29,4-3,B,32968.403965,0.0,15655.344941000001,14538.576477999999,6309.990907,4245.827489,1886.918022
2025-04-30,4-3,B,36521.234324,2076.942983,20117.955373,14796.575289,4245.827489,5911.348114,10498.837891
2025-05-01,4-3,B,36214.431928,1317.024974,20115.737814,17014.737792,5911.348114,5110.247933,4076.5261360000004
2025-05-02,4-3,B,14767.761794,1860.935858,20367.432846,17016.666596,5110.247933,4533.530164,8728.518576
2025-05-03,4-3,B,13865.375627,2033.813556,21765.177056,16072.196994999998,4533.530164,6264.192851,5616.881494
2025-05-04,4-3,B,40846.629169,1168.6802269999998,19231.091604,15441.208238000001,6264.192851,6415.277254,6491.019231
2025-05-05,4-3,B,35624.488092,2141.071196,17625.279585,16626.426693,6415.277254,3804.221442,3859.5007280000004
