date,slot,label,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start_kwh,storage_end_kwh,load_kwh,pv_kwh,net_kwh,pool_size
2025-02-01,109,18:00-18:10,465.3278007,11.19275065,0,0,-0,1295.89231,1305.965786,454.18455,0.0495,454.13505,24
2025-02-01,110,18:10-18:20,441.38513,0,30.88018663,0,0,1305.965786,1271.654467,472.2653167,0,472.2653167,24
2025-02-01,111,18:20-18:30,428.4571595,0,25.71117379,0,0,1271.654467,1243.086497,454.1683333,0,454.1683333,24
2025-02-01,112,18:30-18:40,402.0114008,0,16.36123257,0,0,1243.086497,1224.907349,418.3761833,0.00355,418.3726333,24
2025-02-01,113,18:40-18:50,434.6286157,20.54638242,0,0,-0,1224.907349,1243.399093,414.0822333,0,414.0822333,24
2025-02-01,114,18:50-19:00,490.4981716,58.35983822,0,0,-0,1243.399093,1295.922948,432.1383333,0,432.1383333,24
2025-02-01,115,19:00-19:10,454.4695589,30.45544224,0,0,-0,1295.922948,1323.332846,424.0143667,0.00025,424.0141167,24
2025-02-01,116,19:10-19:20,422.6283495,0,19.7841172,0,0,1323.332846,1301.350493,442.4124667,0,442.4124667,24
2025-02-01,117,19:20-19:30,434.7879266,0,48.95874004,0,0,1301.350493,1246.951893,483.7466667,0,483.7466667,24
2025-02-01,118,19:30-19:40,438.9277627,0,42.256704,0,0,1246.951893,1200,481.1844667,0,481.1844667,24
2025-02-01,119,19:40-19:50,455.7234409,0,0,0,10.95750758,1200,1200,444.7659333,0,444.7659333,24
2025-02-01,120,19:50-20:00,476.4098752,0,0,0,58.31487517,1200,1200,418.095,0,418.095,24
2025-02-01,121,20:00-20:10,464.5126215,0,0,0,27.77210488,1200,1200,436.7405167,0,436.7405167,24
2025-02-01,122,20:10-20:20,465.6992582,0,0,0,13.00140819,1200,1200,452.69785,0,452.69785,24
2025-02-01,123,20:20-20:30,493.5032441,23.5438468,0,0,19.99106393,1200,1221.189462,449.9683333,0,449.9683333,24
2025-02-01,124,20:30-20:40,508.828738,53.76203805,0,0,-0,1221.189462,1269.575296,455.0667,0,455.0667,24
2025-02-01,125,20:40-20:50,477.8650905,23.85272387,0,0,-0,1269.575296,1291.042748,454.0123667,0,454.0123667,24
2025-02-01,126,20:50-21:00,436.4577891,0,22.9472109,0,0,1291.042748,1265.545847,459.405,0,459.405,24
2025-02-01,127,21:00-21:10,458.8709442,0,38.54982247,0,0,1265.545847,1222.712711,497.4207667,0,497.4207667,24
2025-02-01,128,21:10-21:20,503.13162,0,0.1515133457,0,0,1222.712711,1222.544363,503.2831333,0,503.2831333,24
2025-02-01,129,21:20-21:30,522.2386343,44.68196762,0,0,-0,1222.544363,1262.758133,477.5566667,0,477.5566667,24
2025-02-01,130,21:30-21:40,501.4655895,22.32963952,0,0,-0,1262.758133,1282.854809,479.13595,0,479.13595,24
2025-02-01,131,21:40-21:50,456.1909667,5.986866673,0,0,-0,1282.854809,1288.242989,450.2041,0,450.2041,24
2025-02-01,132,21:50-22:00,411.5096102,19.42461024,0,0,-0,1288.242989,1305.725138,392.085,0,392.085,24
2025-02-01,133,22:00-22:10,389.7864553,18.0166386,0,0,-0,1305.725138,1321.940113,371.7698167,0,371.7698167,24
2025-02-01,134,22:10-22:20,392.1081041,28.52988744,0,0,-0,1321.940113,1347.617012,363.5782167,0,363.5782167,24
2025-02-01,135,22:20-22:30,402.6192662,43.46259951,0,0,-0,1347.617012,1386.733351,359.1566667,0,359.1566667,24
2025-02-01,136,22:30-22:40,401.0049612,18.95424458,0,0,-0,1386.733351,1403.792171,382.0507167,0,382.0507167,24
2025-02-01,137,22:40-22:50,395.3557015,0,21.81271519,0,0,1403.792171,1379.555821,417.1684167,0,417.1684167,24
2025-02-01,138,22:50-23:00,397.8867221,0,33.90994457,0,0,1379.555821,1341.878105,431.7966667,0,431.7966667,24
2025-02-01,139,23:00-23:10,410.5890943,4.124144338,0,0,-0,1341.878105,1345.589835,406.46495,0,406.46495,24
2025-02-01,140,23:10-23:20,408.8237296,7.863862952,0,0,-0,1345.589835,1352.667312,400.9598667,0,400.9598667,24
2025-02-01,141,23:20-23:30,403.4233632,0,6.521636847,0,0,1352.667312,1345.421048,409.945,0,409.945,24
2025-02-01,142,23:30-23:40,427.9166431,40.67994309,0,0,-0,1345.421048,1382.032997,387.2367,0,387.2367,24
2025-02-01,143,23:40-23:50,440.4857607,0,14.22438928,0,0,1382.032997,1366.22812,454.71015,0,454.71015,24
2025-02-01,144,23:50-24:00,431.2180252,0,149.6053082,0,0,1366.22812,1200,580.8233333,0,580.8233333,24
2025-02-02,1,0:00-0:10,1385.926471,-0,0,0,787.2624211,1200,1200,598.66405,0,598.66405,25
2025-02-02,2,0:10-0:20,1421.655664,-0,0,0,839.9211804,1200,1200,581.7344833,0,581.7344833,25
2025-02-02,3,0:20-0:30,600.02,-0,0,0,15.42666667,1200,1200,584.5933333,0,584.5933333,25
2025-02-02,4,0:30-0:40,605.3997753,-0,0,0,19.29690859,1200,1200,586.1028667,0,586.1028667,25
2025-02-02,5,0:40-0:50,617.0381572,-0,0,0,29.84129054,1200,1200,587.1968667,0,587.1968667,25
2025-02-02,6,0:50-1:00,632.8200107,-0,0,0,36.74667739,1200,1200,596.0733333,0,596.0733333,25
2025-02-02,7,1:00-1:10,638.0053796,0,0,0,25.95056289,1200,1200,612.0548167,0,612.0548167,25
2025-02-02,8,1:10-1:20,641.1147798,0,0,0,42.7904798,1200,1200,598.3243,0,598.3243,25
2025-02-02,9,1:20-1:30,643.5460519,0,0,0,71.31271857,1200,1200,572.2333333,0,572.2333333,25
2025-02-02,10,1:30-1:40,638.6158235,0,0,0,46.96309016,1200,1200,591.6527333,0,591.6527333,25
2025-02-02,11,1:40-1:50,639.0907086,0,0,0,14.79500862,1200,1200,624.2957,0,624.2957,25
2025-02-02,12,1:50-2:00,644.1464163,0,0,0,15.48141633,1200,1200,628.665,0,628.665,25
2025-02-02,13,2:00-2:10,668.8419,0,0,0,69.76778333,1200,1200,599.0741167,0,599.0741167,25
2025-02-02,14,2:10-2:20,687.6550833,0,0,0,75.7945,1200,1200,611.8605833,0,611.8605833,25
2025-02-02,15,2:20-2:30,675.1283333,0,0,0,27.99,1200,1200,647.1383333,0,647.1383333,25
2025-02-02,16,2:30-2:40,656.5923,0,0,0,38.05706667,1200,1200,618.5352333,0,618.5352333,25
2025-02-02,17,2:40-2:50,664.3531192,0,0,0,31.51060255,1200,1200,632.8425167,0,632.8425167,25
2025-02-02,18,2:50-3:00,683.6659512,0,0,0,0.9242845063,1200,1200,682.7416667,0,682.7416667,25
2025-02-02,19,3:00-3:10,662.7365493,0,0,0,12.4452826,1200,1200,650.2912667,0,650.2912667,25
2025-02-02,20,3:10-3:20,683.0044,0,0,0,57.7207,1200,1200,625.2837,0,625.2837,25
2025-02-02,21,3:20-3:30,708.3066667,0,0,0,59.48,1200,1200,648.8266667,0,648.8266667,25
2025-02-02,22,3:30-3:40,685.7917,0,0,0,18.55473333,1200,1200,667.2369667,0,667.2369667,25
2025-02-02,23,3:40-3:50,675.7256667,0,0,0,17.17016667,1200,1200,658.5555,0,658.5555,25
2025-02-02,24,3:50-4:00,695.69,0,0,0,58.035,1200,1200,637.655,0,637.655,25
2025-02-02,25,4:00-4:10,705.8111833,0,0,0,69.1566,1200,1200,636.6545833,0,636.6545833,25
2025-02-02,26,4:10-4:20,697.7654851,0,0,0,51.85881843,1200,1200,645.9066667,0,645.9066667,25
2025-02-02,27,4:20-4:30,709.7492811,0,0,0,56.78428113,1200,1200,652.965,0,652.965,25
2025-02-02,28,4:30-4:40,720.47335,0,0,0,64.21786667,1200,1200,656.2554833,0,656.2554833,25
2025-02-02,29,4:40-4:50,715.4342167,0,0,0,50.04711667,1200,1200,665.3873333,0.0002333333333,665.3871,25
2025-02-02,30,4:50-5:00,688.285,0,0,0,7.251666667,1200,1200,681.0333333,0,681.0333333,25
2025-02-02,31,5:00-5:10,713.5248833,0,0,0,22.50411667,1200,1200,691.0207667,0,691.0207667,25
2025-02-02,32,5:10-5:20,727.9403609,0,0,0,48.72039422,1200,1200,679.2231167,0.00315,679.2199667,25
2025-02-02,33,5:20-5:30,718.7673732,0,0,0,70.82070658,1200,1200,647.9466667,0,647.9466667,25
2025-02-02,34,5:30-5:40,1524.684552,0,0,0,891.189852,1200,1200,633.4947,0,633.4947,25
2025-02-02,35,5:40-5:50,767.3655472,0,0,0,43.62748056,1200,1200,723.78205,0.04398333333,723.7380667,25
