stage,feature,date,es_before,es_after,relative_improvement_pct
forward,net_lag_7d,2025-03-16,731.3174788,618.0703083,15.48536359
forward,net_lag_7d,2025-03-17,905.5820997,1005.512086,-11.03488975
forward,net_lag_7d,2025-03-18,684.6658116,611.5046584,10.6856735
forward,net_lag_7d,2025-03-19,744.4808409,704.3181529,5.394724187
forward,net_lag_7d,2025-03-20,642.7462017,555.0454894,13.64468776
forward,net_lag_7d,2025-03-21,3341.013662,1229.443398,63.20148548
forward,net_lag_7d,2025-03-22,2781.632379,841.7990804,69.73722744
forward,net_lag_7d,2025-03-23,827.0882166,809.3125833,2.149182273
forward,net_lag_7d,2025-03-24,779.8910752,710.3276201,8.919637288
forward,net_lag_7d,2025-03-25,715.429089,611.383267,14.54313552
forward,net_lag_7d,2025-03-26,889.3310115,888.7940445,0.0603787569
forward,net_lag_7d,2025-03-27,733.6603972,670.8690827,8.558634862
forward,net_lag_7d,2025-03-28,3238.990196,1071.335628,66.92377675
forward,net_lag_7d,2025-03-29,3506.495577,1431.536897,59.1747126
forward,net_lag_7d,2025-03-30,845.1027012,816.284671,3.410003323
forward,net_lag_7d,2025-03-31,798.6499738,719.3489648,9.929382277
forward,net_lag_7d,2025-04-01,759.9258482,564.7372755,25.685213
forward,net_lag_7d,2025-04-02,758.9719145,577.9524271,23.85061739
forward,net_lag_7d,2025-04-03,665.1662124,593.1125697,10.83242675
forward,net_lag_7d,2025-04-04,3161.165691,974.4032027,69.17582632
forward,net_lag_7d,2025-04-05,2462.093411,534.7881709,78.27912749
forward,net_lag_7d,2025-04-06,676.7170469,567.3167578,16.16632677
forward,net_lag_7d,2025-04-07,782.9730915,743.1362021,5.087900191
forward,net_lag_7d,2025-04-08,712.2698139,646.2864287,9.263818834
forward,net_lag_7d,2025-04-09,644.7012832,421.7977162,34.57470503
forward,net_lag_7d,2025-04-10,701.1510932,616.9684677,12.00634589
forward,net_lag_7d,2025-04-11,3103.592391,885.8892942,71.4560038
forward,net_lag_7d,2025-04-12,2614.933627,750.9380061,71.28271255
forward,net_lag_7d,2025-04-13,659.3955077,509.9210744,22.66840335
